source,delta,compliance
ROOT_2GB,0.23798831826477485,97.93142376322203
ROOT_2GB,0.24504229737743144,94.90610886506892
ROOT_2GB,0.23453764281029912,99.41135157338323
ROOT_2GB,0.2146343909007454,92.05252951245255
ROOT_2GB,0.2202687427018659,94.46899377654165
ROOT_2GB,0.2518616759282804,91.98140960008067
ROOT_2GB,0.23192872399572667,99.46973372163328
ROOT_2GB,0.24633779979198256,94.35049299312756
ROOT_2GB,0.22515417403945706,96.56426057184585
ROOT_2GB,0.21512205638070825,92.2616797832833
ROOT_2GB,0.23603172124674704,98.77057029509943
ROOT_2GB,0.24020681359059537,96.97995412410081
ROOT_2GB,0.24592894336494925,94.52584358889132
ROOT_2GB,0.2207046919780155,94.6559639700893
ROOT_2GB,0.24377649986688618,95.44898487951964
ROOT_2GB,0.24577255631636039,94.59291496242646
ROOT_2GB,0.23486241945911704,99.27206116458713
ROOT_2GB,0.2494745897984031,93.00518456688415
ROOT_2GB,0.22513662634535342,96.55673470601153
ROOT_2GB,0.21229904496850227,91.05094491341684
ROOT_2GB,0.22423526698380644,96.1701591489355
ROOT_2GB,0.24903908597147545,93.19196371589565
ROOT_2GB,0.24526042733914563,94.81255715299714
ROOT_2GB,0.21109947234463758,90.53647146907633
ROOT_2GB,0.21808765966463212,93.53356954274813
ROOT_2GB,0.23007867302524224,98.67628272412368
ROOT_2GB,0.23977837429569324,97.16370343227442
ROOT_2GB,0.2321182759104656,99.5510288633504
ROOT_2GB,0.2519930126064839,91.92508184479571
ROOT_2GB,0.21438720146367565,91.94651475472646
ROOT_2GB,0.2504456358264901,92.58872174942371
ROOT_2GB,0.24999986112298866,92.77990587829403
ROOT_2GB,0.2315745062005056,99.31781657586932
ROOT_2GB,0.22991364348337454,98.60550475275828
ROOT_2GB,0.2356182205277778,98.94791273764369
ROOT_2GB,0.2478747972508833,93.69130457811045
ROOT_2GB,0.24039077452835636,96.90105684402694
ROOT_2GB,0.23043324847618532,98.82835326149355
ROOT_2GB,0.24815569667783613,93.57083225920063
ROOT_2GB,0.2421510294937004,96.14611761240258
ROOT_2GB,0.22496478629621794,96.48303584010247
ROOT_2GB,0.24223742915793117,96.10906247129452
ROOT_2GB,0.21928587470165103,94.04746074440766
ROOT_2GB,0.21019490789234974,90.14852131071308
ROOT_2GB,0.24475384625163138,95.0298199612226
ROOT_2GB,0.21567293846592958,92.49794243063867
ROOT_2GB,0.23566795477818342,98.92658268175643
ROOT_2GB,0.2522977845297402,91.79437107499602
ROOT_2GB,0.24714447827560834,94.00452422917787
ROOT_2GB,0.24713702593238643,94.0077203947201
ROOT_2GB,0.2179976027556547,93.4949458802649
ROOT_2GB,0.2464916343777452,94.2845163214184
ROOT_2GB,0.23610141895204298,98.7406783004066
ROOT_2GB,0.2272609321037866,97.46780826557017
ROOT_2GB,0.22125845619258533,94.89346270685141
ROOT_2GB,0.2552192650588933,90.54140470972104
ROOT_2GB,0.252669168913011,91.63509151239644
ROOT_2GB,0.22265371329234998,95.49186142950968
ROOT_2GB,0.254725380175791,90.75322236199351
ROOT_2GB,0.223831685897724,95.99707104464167
ROOT_2GB,0.24845700109099858,93.44160863726162
ROOT_2GB,0.22002071038003115,94.36261752187941
ROOT_2GB,0.2101360296679741,90.12326958164844
ROOT_2GB,0.2276315976279527,97.62677952343502
ROOT_2GB,0.2518111966780583,92.00305917194721
ROOT_2GB,0.21263770753875263,91.19619072473303
ROOT_2GB,0.25552543165813985,90.41009579042533
ROOT_2GB,0.2141444298930733,91.84239473428671
ROOT_2GB,0.21961655999991167,94.189285258409
ROOT_2GB,0.23137338577435101,99.2315599238647
ROOT_2GB,0.22501085378988078,96.50279329510381
ROOT_2GB,0.24043799039668345,96.88080687339364
ROOT_2GB,0.2168962522655803,93.02259800504478
ROOT_2GB,0.2129820684377402,91.34388043878097
ROOT_2GB,0.25031692130972516,92.64392491049898
ROOT_2GB,0.24978027626554078,92.87408156694245
ROOT_2GB,0.23559966127120616,98.95587244301115
ROOT_2GB,0.24047465283542296,96.86508306412942
ROOT_2GB,0.21659277848218553,92.89244398226695
ROOT_2GB,0.23306142736128818,99.95552823736594
ROOT_2GB,0.25074079514433906,92.46213363974034
ROOT_2GB,0.23236480006166127,99.65675829286185
ROOT_2GB,0.21037559140065826,90.22601296482864
ROOT_2GB,0.23247055633411673,99.70211510800446
ROOT_2GB,0.22891864120730412,98.17876756493601
ROOT_2GB,0.2113908315835687,90.66142979857737
ROOT_2GB,0.2167544554132537,92.96178408385168
ROOT_2GB,0.2448148579081276,95.00365324447858
ROOT_2GB,0.24884670280071913,93.27447312843398
ROOT_2GB,0.22585141943862205,96.8632956072598
ROOT_2GB,0.24211733552094744,96.16056830414968
ROOT_2GB,0.23573622859040677,98.89730136719987
ROOT_2GB,0.2373618183413756,98.20011743549996
ROOT_2GB,0.22479701858996531,96.41108352311242
